frequency,raw
20.0,13.39
21.2,13.3
22.4,13.17
23.6,13.02
25.0,12.86
26.5,12.68
28.0,12.49
30.0,12.27
31.5,12.06
33.5,11.83
35.5,11.58
37.5,11.32
40.0,11.08
42.5,10.81
45.0,10.53
47.5,10.27
50.0,9.99
53.0,9.71
56.0,9.4
60.0,9.05
63.0,8.74
67.0,8.44
71.0,8.14
75.0,7.83
80.0,7.45
85.0,7.06
90.0,6.72
95.0,6.42
100.0,6.08
106.0,5.73
112.0,5.39
118.0,5.06
125.0,4.7
132.0,4.36
140.0,3.98
150.0,3.6
160.0,3.21
170.0,2.87
180.0,2.58
190.0,2.31
200.0,2.06
212.0,1.81
224.0,1.58
236.0,1.35
250.0,1.11
265.0,0.84
280.0,0.55
300.0,0.29
315.0,0.09
335.0,-0.09
355.0,-0.24
375.0,-0.38
400.0,-0.54
425.0,-0.71
450.0,-0.87
475.0,-0.99
500.0,-1.06
530.0,-1.11
560.0,-1.18
600.0,-1.26
630.0,-1.29
670.0,-1.19
710.0,-1.17
750.0,-1.39
800.0,-1.3
850.0,-1.0
900.0,-0.63
950.0,-0.31
1000.0,0.05
1060.0,0.47
1120.0,0.95
1180.0,1.46
1250.0,1.95
1320.0,2.4
1400.0,2.87
1500.0,3.44
1600.0,3.95
1700.0,4.29
1800.0,4.8
1900.0,5.32
2000.0,5.9
2120.0,6.52
2240.0,7.28
2360.0,8.44
2500.0,9.65
2650.0,10.65
2800.0,11.39
3000.0,11.87
3150.0,12.04
3350.0,11.94
3550.0,11.5
3750.0,10.88
4000.0,10.2
4250.0,9.33
4500.0,8.65
4750.0,8.11
5000.0,7.55
5300.0,6.81
5600.0,6.03
6000.0,5.44
6300.0,5.0
6700.0,4.79
7100.0,4.98
7500.0,5.6
8000.0,6.28
8500.0,5.72
9000.0,3.43
9500.0,0.48
10000.0,-2.07
10600.0,-3.84
11200.0,-4.77
11800.0,-4.78
12500.0,-3.45
13200.0,-0.58
14000.0,0.37
15000.0,-3.76
16000.0,-7.74
17000.0,-8.33
18000.0,-7.85
19000.0,-10.24
20000.0,-12.88
