frequency,raw
20.0,13.04
21.2,13.16
22.4,13.28
23.6,13.36
25.0,13.42
26.5,13.46
28.0,13.55
30.0,13.64
31.5,13.65
33.5,13.62
35.5,13.56
37.5,13.55
40.0,13.55
42.5,13.53
45.0,13.45
47.5,13.36
50.0,13.27
53.0,13.17
56.0,13.04
60.0,12.91
63.0,12.75
67.0,12.58
71.0,12.4
75.0,12.21
80.0,12.02
85.0,11.78
90.0,11.52
95.0,11.28
100.0,10.99
106.0,10.64
112.0,10.27
118.0,9.97
125.0,9.7
132.0,9.44
140.0,9.11
150.0,8.73
160.0,8.35
170.0,7.92
180.0,7.57
190.0,7.32
200.0,7.03
212.0,6.66
224.0,6.29
236.0,5.95
250.0,5.67
265.0,5.33
280.0,4.93
300.0,4.51
315.0,4.17
335.0,3.77
355.0,3.38
375.0,3.0
400.0,2.58
425.0,2.15
450.0,1.97
475.0,1.91
500.0,1.73
530.0,1.36
560.0,0.84
600.0,0.31
630.0,0.08
670.0,0.03
710.0,-0.06
750.0,-0.3
800.0,-0.45
850.0,-0.42
900.0,-0.28
950.0,-0.16
1000.0,0.06
1060.0,0.29
1120.0,0.55
1180.0,0.83
1250.0,1.1
1320.0,1.45
1400.0,1.79
1500.0,2.12
1600.0,2.51
1700.0,2.97
1800.0,3.47
1900.0,3.95
2000.0,4.48
2120.0,5.18
2240.0,6.01
2360.0,6.89
2500.0,7.76
2650.0,8.75
2800.0,9.65
3000.0,10.12
3150.0,10.31
3350.0,9.98
3550.0,9.49
3750.0,8.83
4000.0,8.24
4250.0,8.06
4500.0,8.12
4750.0,8.25
5000.0,8.87
5300.0,9.6
5600.0,10.25
6000.0,9.9
6300.0,8.27
6700.0,5.83
7100.0,3.82
7500.0,2.54
8000.0,2.46
8500.0,3.23
9000.0,3.77
9500.0,4.17
10000.0,4.48
10600.0,3.22
11200.0,1.25
11800.0,-1.28
12500.0,-2.82
13200.0,-3.55
14000.0,-4.67
15000.0,-8.45
16000.0,-13.18
17000.0,-14.82
18000.0,-14.49
19000.0,-13.75
20000.0,-14.37
